codigo,titulo,creditos,Prerequisito_1,cuatrimestre
EDU-105,ORIENTACION ACADEMICA INSTITUCIONAL,4,NULL,1
EDU-106,METODO DEL TRABAJO ACADEMICO,3,NULL,1
MTI-100,MATEMATICA I,4,NULL,1
ESP-101,ESPAÑOL I,3,NULL,1
INF-101,INFORMATICA I,4,NULL,1
ADE-101,ADMINISTRACION I,3,EDU-106,2
ESP-102,ESPAÑOL II,3,ESP-101,2
MTI-200,MATEMATICA II,4,MTI-100,2
INF-102,INFORMATICA II,4,INF-101,2
INF-111,INGLES TECNICO I,4,EDU-106,2
CON-101,CONTABILIDAD I,5,EDU-106,3
MTI-300,MATEMATICA III,4,MTI-200,3
INF-318,ESTRUCTURA DE DATOS,3,INF-101,3
INF-221,INTRODUCCION A LA PROGRAMACION,4,INF-101,3
INF-112,INGLES TECNICO II,4,INF-111,3
CON-102,CONTABILIDAD II,5,CON-101,4
INF-106,MATEMATICA BINARIA Y CIRCUITOS LOGICOS,3,INF-101,4
INF-222,SISTEMA OPERATIVO I,3,INF-101,4
INF-210,ANALISIS DE SISTEMAS,3,INF-221,4
MAT-241,ESTADISTICA I,4,EDU-106,4
DMF-209,FISICA I,4,EDU-106,5
INF-214,PROGRAMACION ESTRUCTURADA,3,INF-221,5
INF-208,DISEÑO DE SISTEMAS,4,INF-210,5
RSI-344,PROPIEDAD INTELECTUAL,3,EDU-106,5
MAT-242,ESTADISTICA II,4,MAT-241,5
INF-319,PROGRAMACION LINEAL,4,INF-214,6
DMF-210,FISICA II,4,DMF-209,6
INF-215,INGENIERIA ECONOMICA,3,MTI-200,6
INF-314,LOGICA DIGITAL,3,INF-106,6
INF-223,SISTEMA OPERATIVO II,4,INF-222,7
INF-104,PROGRAMACION I,3,INF-214,7
INF-320,ELECTRONICA I,3,DMF-210,7
INF-437,REDES INFORMATICAS,4,INF-222,7
INF-436,BASE DE DATOS,3,INF-208,8
INF-207,PROGRAMACION II,3,INF-104,8
INF-327,ELECTRONICA II,4,INF-320,8
INF-333,INTELIGENCIA ARTIFICIAL,3,INF-319,8
INF-209,PROGRAMACION III,4,INF-207,9
INF-317,PROYECTO I,4,INF-436,9
INF-323,SIMULACION DIGITAL,3,INF-327,9
INF-325,INVESTIGACION DE OPERACIONES I,4,MTI-300,9
INF-212,PROGRAMACION IV,4,INF-209,10
INF-322,PROYECTO II,4,INF-317,10
INF-321,TALLER DE ELECTRONICA I,3,INF-327,10
INF-331,MECANICA DE HARDWARE I,3,INF-327,10
INF-335,PROYECTO III,4,INF-322,11
INF-334,AUDITORIA DE SISTEMAS,3,INF-208,11
DHS-410,ETICA PROFESIONAL,2,EDU-106,11
INF-338,MECANICA DE HARDWARE II,3,INF-331,11
DHS-800,SEMINARIO DE GRADO,4,EDU-106,12
EDU-666,ELECTIVA,3,NULL,12
INF-435,SEMINARIO DE INFORMATICA,3,TODAS,12
DHS-440,TRABAJO DE GRADO,6,TODAS,13
